Segment_Combination,gender,device_type,ad_position,browsing_history,time_of_day,Impressions,Clicks,Conversions,Spend,Revenue,CTR_Percent,CVR_Percent,ROAS,CPA,LTV,Profit,ROI_Percent
Mobile | News | Top | Unknown | Female,Female,Mobile,Top,News,Unknown,1,1,1,2.0,40,100.0,100.0,20.0,2.0,40.0,38.0,1900.0
Unknown | Shopping | Bottom | Unknown | Male,Male,Unknown,Bottom,Shopping,Unknown,3,3,1,6.0,42,100.0,33.33,7.0,6.0,42.0,36.0,600.0
Mobile | Social Media | Bottom | Unknown | Non-Binary,Non-Binary,Mobile,Bottom,Social Media,Unknown,6,6,2,12.0,84,100.0,33.33,7.0,6.0,42.0,72.0,600.0
Unknown | Education | Bottom | Afternoon | Non-Binary,Non-Binary,Unknown,Bottom,Education,Afternoon,3,3,1,6.0,42,100.0,33.33,7.0,6.0,42.0,36.0,600.0
Mobile | Entertainment | Unknown | Afternoon | Female,Female,Mobile,Unknown,Entertainment,Afternoon,3,3,1,6.0,42,100.0,33.33,7.0,6.0,42.0,36.0,600.0
Unknown | Shopping | Side | Morning | Non-Binary,Non-Binary,Unknown,Side,Shopping,Morning,3,3,1,6.0,42,100.0,33.33,7.0,6.0,42.0,36.0,600.0
Unknown | Shopping | Top | Unknown | Female,Female,Unknown,Top,Shopping,Unknown,3,3,1,6.0,42,100.0,33.33,7.0,6.0,42.0,36.0,600.0
Tablet | Entertainment | Bottom | Unknown | Non-Binary,Non-Binary,Tablet,Bottom,Entertainment,Unknown,3,3,1,6.0,42,100.0,33.33,7.0,6.0,42.0,36.0,600.0
Tablet | Social Media | Top | Morning | Unknown,Unknown,Tablet,Top,Social Media,Morning,3,3,1,6.0,42,100.0,33.33,7.0,6.0,42.0,36.0,600.0
Tablet | Entertainment | Bottom | Afternoon | Female,Female,Tablet,Bottom,Entertainment,Afternoon,3,3,1,6.0,42,100.0,33.33,7.0,6.0,42.0,36.0,600.0
Desktop | News | Unknown | Morning | Unknown,Unknown,Desktop,Unknown,News,Morning,3,3,1,6.0,42,100.0,33.33,7.0,6.0,42.0,36.0,600.0
Mobile | Education | Bottom | Night | Female,Female,Mobile,Bottom,Education,Night,6,5,2,12.0,83,83.33,40.0,6.917,6.0,41.5,71.0,591.67
Mobile | Social Media | Bottom | Night | Male,Male,Mobile,Bottom,Social Media,Night,6,5,2,12.0,83,83.33,40.0,6.917,6.0,41.5,71.0,591.67
Desktop | Education | Side | Evening | Unknown,Unknown,Desktop,Side,Education,Evening,9,7,3,18.0,124,77.78,42.86,6.889,6.0,41.33,106.0,588.89
Desktop | Unknown | Top | Unknown | Female,Female,Desktop,Top,Unknown,Unknown,9,6,3,18.0,123,66.67,50.0,6.833,6.0,41.0,105.0,583.33
Desktop | Shopping | Top | Unknown | Male,Male,Desktop,Top,Shopping,Unknown,3,2,1,6.0,41,66.67,50.0,6.833,6.0,41.0,35.0,583.33
Mobile | Education | Top | Evening | Female,Female,Mobile,Top,Education,Evening,3,2,1,6.0,41,66.67,50.0,6.833,6.0,41.0,35.0,583.33
Unknown | Social Media | Bottom | Night | Male,Male,Unknown,Bottom,Social Media,Night,3,2,1,6.0,41,66.67,50.0,6.833,6.0,41.0,35.0,583.33
Unknown | Shopping | Bottom | Morning | Female,Female,Unknown,Bottom,Shopping,Morning,3,2,1,6.0,41,66.67,50.0,6.833,6.0,41.0,35.0,583.33
Desktop | Unknown | Side | Night | Non-Binary,Non-Binary,Desktop,Side,Unknown,Night,6,4,2,12.0,82,66.67,50.0,6.833,6.0,41.0,70.0,583.33
Mobile | Social Media | Bottom | Afternoon | Male,Male,Mobile,Bottom,Social Media,Afternoon,3,2,1,6.0,41,66.67,50.0,6.833,6.0,41.0,35.0,583.33
Mobile | News | Bottom | Unknown | Non-Binary,Non-Binary,Mobile,Bottom,News,Unknown,3,2,1,6.0,41,66.67,50.0,6.833,6.0,41.0,35.0,583.33
Desktop | News | Unknown | Evening | Unknown,Unknown,Desktop,Unknown,News,Evening,3,2,1,6.0,41,66.67,50.0,6.833,6.0,41.0,35.0,583.33
Unknown | News | Side | Evening | Unknown,Unknown,Unknown,Side,News,Evening,3,2,1,6.0,41,66.67,50.0,6.833,6.0,41.0,35.0,583.33
Desktop | Social Media | Top | Unknown | Non-Binary,Non-Binary,Desktop,Top,Social Media,Unknown,3,2,1,6.0,41,66.67,50.0,6.833,6.0,41.0,35.0,583.33
Mobile | Education | Unknown | Unknown | Male,Male,Mobile,Unknown,Education,Unknown,3,2,1,6.0,41,66.67,50.0,6.833,6.0,41.0,35.0,583.33
Mobile | Education | Unknown | Evening | Female,Female,Mobile,Unknown,Education,Evening,3,2,1,6.0,41,66.67,50.0,6.833,6.0,41.0,35.0,583.33
Tablet | Shopping | Bottom | Unknown | Female,Female,Tablet,Bottom,Shopping,Unknown,6,4,2,12.0,82,66.67,50.0,6.833,6.0,41.0,70.0,583.33
Mobile | Entertainment | Side | Afternoon | Non-Binary,Non-Binary,Mobile,Side,Entertainment,Afternoon,7,7,2,14.0,85,100.0,28.57,6.071,7.0,42.5,71.0,507.14
Tablet | Education | Side | Evening | Unknown,Unknown,Tablet,Side,Education,Evening,15,14,4,30.0,170,93.33,28.57,5.667,7.5,42.5,140.0,466.67
Mobile | Social Media | Bottom | Unknown | Male,Male,Mobile,Bottom,Social Media,Unknown,4,4,1,8.0,43,100.0,25.0,5.375,8.0,43.0,35.0,437.5
Unknown | Unknown | Unknown | Morning | Non-Binary,Non-Binary,Unknown,Unknown,Unknown,Morning,8,8,2,16.0,86,100.0,25.0,5.375,8.0,43.0,70.0,437.5
Unknown | Shopping | Unknown | Afternoon | Non-Binary,Non-Binary,Unknown,Unknown,Shopping,Afternoon,4,4,1,8.0,43,100.0,25.0,5.375,8.0,43.0,35.0,437.5
Unknown | Shopping | Side | Evening | Non-Binary,Non-Binary,Unknown,Side,Shopping,Evening,4,4,1,8.0,43,100.0,25.0,5.375,8.0,43.0,35.0,437.5
Tablet | Entertainment | Unknown | Unknown | Unknown,Unknown,Tablet,Unknown,Entertainment,Unknown,4,4,1,8.0,43,100.0,25.0,5.375,8.0,43.0,35.0,437.5
Desktop | Unknown | Side | Evening | Male,Male,Desktop,Side,Unknown,Evening,8,7,2,16.0,85,87.5,28.57,5.312,8.0,42.5,69.0,431.25
Mobile | Unknown | Unknown | Night | Non-Binary,Non-Binary,Mobile,Unknown,Unknown,Night,8,7,2,16.0,85,87.5,28.57,5.312,8.0,42.5,69.0,431.25
Tablet | News | Bottom | Unknown | Unknown,Unknown,Tablet,Bottom,News,Unknown,8,7,2,16.0,85,87.5,28.57,5.312,8.0,42.5,69.0,431.25
Desktop | Education | Top | Afternoon | Non-Binary,Non-Binary,Desktop,Top,Education,Afternoon,4,3,1,8.0,42,75.0,33.33,5.25,8.0,42.0,34.0,425.0
Desktop | News | Unknown | Afternoon | Male,Male,Desktop,Unknown,News,Afternoon,4,3,1,8.0,42,75.0,33.33,5.25,8.0,42.0,34.0,425.0
Unknown | News | Top | Evening | Non-Binary,Non-Binary,Unknown,Top,News,Evening,4,3,1,8.0,42,75.0,33.33,5.25,8.0,42.0,34.0,425.0
Unknown | News | Top | Morning | Male,Male,Unknown,Top,News,Morning,4,3,1,8.0,42,75.0,33.33,5.25,8.0,42.0,34.0,425.0
Tablet | News | Side | Evening | Non-Binary,Non-Binary,Tablet,Side,News,Evening,4,3,1,8.0,42,75.0,33.33,5.25,8.0,42.0,34.0,425.0
Tablet | Social Media | Top | Night | Male,Male,Tablet,Top,Social Media,Night,4,3,1,8.0,42,75.0,33.33,5.25,8.0,42.0,34.0,425.0
Desktop | News | Bottom | Morning | Non-Binary,Non-Binary,Desktop,Bottom,News,Morning,4,3,1,8.0,42,75.0,33.33,5.25,8.0,42.0,34.0,425.0
Unknown | Entertainment | Top | Night | Male,Male,Unknown,Top,Entertainment,Night,4,3,1,8.0,42,75.0,33.33,5.25,8.0,42.0,34.0,425.0
Tablet | News | Top | Unknown | Unknown,Unknown,Tablet,Top,News,Unknown,4,3,1,8.0,42,75.0,33.33,5.25,8.0,42.0,34.0,425.0
Unknown | News | Top | Night | Unknown,Unknown,Unknown,Top,News,Night,8,6,2,16.0,84,75.0,33.33,5.25,8.0,42.0,68.0,425.0
Desktop | Shopping | Unknown | Unknown | Male,Male,Desktop,Unknown,Shopping,Unknown,4,3,1,8.0,42,75.0,33.33,5.25,8.0,42.0,34.0,425.0
Mobile | News | Unknown | Night | Non-Binary,Non-Binary,Mobile,Unknown,News,Night,4,2,1,8.0,41,50.0,50.0,5.125,8.0,41.0,33.0,412.5
Unknown | Education | Top | Night | Female,Female,Unknown,Top,Education,Night,4,2,1,8.0,41,50.0,50.0,5.125,8.0,41.0,33.0,412.5
Mobile | Unknown | Side | Morning | Female,Female,Mobile,Side,Unknown,Morning,4,2,1,8.0,41,50.0,50.0,5.125,8.0,41.0,33.0,412.5
Mobile | Shopping | Side | Morning | Non-Binary,Non-Binary,Mobile,Side,Shopping,Morning,4,2,1,8.0,41,50.0,50.0,5.125,8.0,41.0,33.0,412.5
Tablet | Education | Side | Unknown | Unknown,Unknown,Tablet,Side,Education,Unknown,4,2,1,8.0,41,50.0,50.0,5.125,8.0,41.0,33.0,412.5
Tablet | Entertainment | Top | Morning | Male,Male,Tablet,Top,Entertainment,Morning,4,2,1,8.0,41,50.0,50.0,5.125,8.0,41.0,33.0,412.5
Mobile | Education | Unknown | Morning | Unknown,Unknown,Mobile,Unknown,Education,Morning,4,2,1,8.0,41,50.0,50.0,5.125,8.0,41.0,33.0,412.5
Tablet | Social Media | Side | Afternoon | Non-Binary,Non-Binary,Tablet,Side,Social Media,Afternoon,4,2,1,8.0,41,50.0,50.0,5.125,8.0,41.0,33.0,412.5
Unknown | Unknown | Unknown | Night | Non-Binary,Non-Binary,Unknown,Unknown,Unknown,Night,4,1,1,8.0,40,25.0,100.0,5.0,8.0,40.0,32.0,400.0
Tablet | Unknown | Unknown | Unknown | Female,Female,Tablet,Unknown,Unknown,Unknown,17,14,4,34.0,170,82.35,28.57,5.0,8.5,42.5,136.0,400.0
Desktop | Social Media | Bottom | Evening | Unknown,Unknown,Desktop,Bottom,Social Media,Evening,4,1,1,8.0,40,25.0,100.0,5.0,8.0,40.0,32.0,400.0
Desktop | Unknown | Top | Morning | Male,Male,Desktop,Top,Unknown,Morning,13,11,3,26.0,128,84.62,27.27,4.923,8.67,42.67,102.0,392.31
Mobile | Unknown | Top | Afternoon | Female,Female,Mobile,Top,Unknown,Afternoon,22,19,5,44.0,214,86.36,26.32,4.864,8.8,42.8,170.0,386.36
Tablet | Unknown | Side | Afternoon | Male,Male,Tablet,Side,Unknown,Afternoon,9,9,2,18.0,87,100.0,22.22,4.833,9.0,43.5,69.0,383.33
Mobile | News | Top | Morning | Male,Male,Mobile,Top,News,Morning,9,7,2,18.0,85,77.78,28.57,4.722,9.0,42.5,67.0,372.22
Tablet | Shopping | Unknown | Afternoon | Unknown,Unknown,Tablet,Unknown,Shopping,Afternoon,9,7,2,18.0,85,77.78,28.57,4.722,9.0,42.5,67.0,372.22
Tablet | Unknown | Side | Night | Female,Female,Tablet,Side,Unknown,Night,9,3,2,18.0,81,33.33,66.67,4.5,9.0,40.5,63.0,350.0
Tablet | Education | Unknown | Evening | Male,Male,Tablet,Unknown,Education,Evening,5,5,1,10.0,44,100.0,20.0,4.4,10.0,44.0,34.0,340.0
Desktop | Entertainment | Bottom | Unknown | Non-Binary,Non-Binary,Desktop,Bottom,Entertainment,Unknown,5,5,1,10.0,44,100.0,20.0,4.4,10.0,44.0,34.0,340.0
Desktop | Shopping | Top | Morning | Female,Female,Desktop,Top,Shopping,Morning,5,5,1,10.0,44,100.0,20.0,4.4,10.0,44.0,34.0,340.0
Unknown | Unknown | Side | Afternoon | Non-Binary,Non-Binary,Unknown,Side,Unknown,Afternoon,10,10,2,20.0,88,100.0,20.0,4.4,10.0,44.0,68.0,340.0
Mobile | Entertainment | Side | Evening | Non-Binary,Non-Binary,Mobile,Side,Entertainment,Evening,5,5,1,10.0,44,100.0,20.0,4.4,10.0,44.0,34.0,340.0
Tablet | Education | Side | Unknown | Male,Male,Tablet,Side,Education,Unknown,5,5,1,10.0,44,100.0,20.0,4.4,10.0,44.0,34.0,340.0
Desktop | Shopping | Bottom | Unknown | Female,Female,Desktop,Bottom,Shopping,Unknown,10,8,2,20.0,86,80.0,25.0,4.3,10.0,43.0,66.0,330.0
Desktop | News | Unknown | Unknown | Unknown,Unknown,Desktop,Unknown,News,Unknown,5,4,1,10.0,43,80.0,25.0,4.3,10.0,43.0,33.0,330.0
Tablet | Education | Top | Night | Female,Female,Tablet,Top,Education,Night,5,4,1,10.0,43,80.0,25.0,4.3,10.0,43.0,33.0,330.0
Tablet | Unknown | Unknown | Unknown | Non-Binary,Non-Binary,Tablet,Unknown,Unknown,Unknown,10,8,2,20.0,86,80.0,25.0,4.3,10.0,43.0,66.0,330.0
Mobile | Education | Bottom | Morning | Unknown,Unknown,Mobile,Bottom,Education,Morning,5,4,1,10.0,43,80.0,25.0,4.3,10.0,43.0,33.0,330.0
Desktop | Entertainment | Top | Evening | Female,Female,Desktop,Top,Entertainment,Evening,10,8,2,20.0,86,80.0,25.0,4.3,10.0,43.0,66.0,330.0
Desktop | Shopping | Top | Night | Non-Binary,Non-Binary,Desktop,Top,Shopping,Night,5,4,1,10.0,43,80.0,25.0,4.3,10.0,43.0,33.0,330.0
Tablet | Education | Side | Evening | Male,Male,Tablet,Side,Education,Evening,5,4,1,10.0,43,80.0,25.0,4.3,10.0,43.0,33.0,330.0
Mobile | Education | Bottom | Unknown | Non-Binary,Non-Binary,Mobile,Bottom,Education,Unknown,5,4,1,10.0,43,80.0,25.0,4.3,10.0,43.0,33.0,330.0
Mobile | Shopping | Side | Unknown | Male,Male,Mobile,Side,Shopping,Unknown,5,4,1,10.0,43,80.0,25.0,4.3,10.0,43.0,33.0,330.0
Mobile | Entertainment | Side | Morning | Unknown,Unknown,Mobile,Side,Entertainment,Morning,5,4,1,10.0,43,80.0,25.0,4.3,10.0,43.0,33.0,330.0
Unknown | Education | Side | Unknown | Unknown,Unknown,Unknown,Side,Education,Unknown,5,4,1,10.0,43,80.0,25.0,4.3,10.0,43.0,33.0,330.0
Tablet | News | Side | Afternoon | Unknown,Unknown,Tablet,Side,News,Afternoon,5,4,1,10.0,43,80.0,25.0,4.3,10.0,43.0,33.0,330.0
Unknown | Education | Side | Morning | Unknown,Unknown,Unknown,Side,Education,Morning,5,4,1,10.0,43,80.0,25.0,4.3,10.0,43.0,33.0,330.0
Mobile | Unknown | Bottom | Unknown | Male,Male,Mobile,Bottom,Unknown,Unknown,10,8,2,20.0,86,80.0,25.0,4.3,10.0,43.0,66.0,330.0
Mobile | Education | Unknown | Morning | Male,Male,Mobile,Unknown,Education,Morning,5,3,1,10.0,42,60.0,33.33,4.2,10.0,42.0,32.0,320.0
Unknown | Shopping | Top | Afternoon | Non-Binary,Non-Binary,Unknown,Top,Shopping,Afternoon,5,3,1,10.0,42,60.0,33.33,4.2,10.0,42.0,32.0,320.0
Tablet | Entertainment | Unknown | Night | Unknown,Unknown,Tablet,Unknown,Entertainment,Night,5,3,1,10.0,42,60.0,33.33,4.2,10.0,42.0,32.0,320.0
Tablet | Education | Top | Unknown | Unknown,Unknown,Tablet,Top,Education,Unknown,5,3,1,10.0,42,60.0,33.33,4.2,10.0,42.0,32.0,320.0
Mobile | Social Media | Unknown | Morning | Non-Binary,Non-Binary,Mobile,Unknown,Social Media,Morning,5,3,1,10.0,42,60.0,33.33,4.2,10.0,42.0,32.0,320.0
Unknown | Unknown | Side | Night | Female,Female,Unknown,Side,Unknown,Night,10,6,2,20.0,84,60.0,33.33,4.2,10.0,42.0,64.0,320.0
Mobile | News | Bottom | Afternoon | Unknown,Unknown,Mobile,Bottom,News,Afternoon,5,3,1,10.0,42,60.0,33.33,4.2,10.0,42.0,32.0,320.0
Mobile | News | Side | Unknown | Female,Female,Mobile,Side,News,Unknown,5,3,1,10.0,42,60.0,33.33,4.2,10.0,42.0,32.0,320.0
Unknown | Education | Unknown | Morning | Unknown,Unknown,Unknown,Unknown,Education,Morning,5,3,1,10.0,42,60.0,33.33,4.2,10.0,42.0,32.0,320.0
Tablet | Education | Bottom | Unknown | Non-Binary,Non-Binary,Tablet,Bottom,Education,Unknown,5,3,1,10.0,42,60.0,33.33,4.2,10.0,42.0,32.0,320.0
Mobile | Shopping | Side | Evening | Non-Binary,Non-Binary,Mobile,Side,Shopping,Evening,5,3,1,10.0,42,60.0,33.33,4.2,10.0,42.0,32.0,320.0
Mobile | Unknown | Unknown | Afternoon | Non-Binary,Non-Binary,Mobile,Unknown,Unknown,Afternoon,5,3,1,10.0,42,60.0,33.33,4.2,10.0,42.0,32.0,320.0
Desktop | Shopping | Bottom | Evening | Unknown,Unknown,Desktop,Bottom,Shopping,Evening,5,2,1,10.0,41,40.0,50.0,4.1,10.0,41.0,31.0,310.0
Tablet | Education | Side | Afternoon | Unknown,Unknown,Tablet,Side,Education,Afternoon,5,2,1,10.0,41,40.0,50.0,4.1,10.0,41.0,31.0,310.0
Tablet | Unknown | Side | Afternoon | Female,Female,Tablet,Side,Unknown,Afternoon,16,14,3,32.0,131,87.5,21.43,4.094,10.67,43.67,99.0,309.38
Desktop | Unknown | Unknown | Night | Female,Female,Desktop,Unknown,Unknown,Night,11,11,2,22.0,89,100.0,18.18,4.045,11.0,44.5,67.0,304.55
Desktop | Entertainment | Side | Morning | Unknown,Unknown,Desktop,Side,Entertainment,Morning,11,10,2,22.0,88,90.91,20.0,4.0,11.0,44.0,66.0,300.0
Desktop | Unknown | Top | Morning | Female,Female,Desktop,Top,Unknown,Morning,11,8,2,22.0,86,72.73,25.0,3.909,11.0,43.0,64.0,290.91
Tablet | Entertainment | Side | Morning | Female,Female,Tablet,Side,Entertainment,Morning,11,8,2,22.0,86,72.73,25.0,3.909,11.0,43.0,64.0,290.91
Desktop | Shopping | Side | Morning | Unknown,Unknown,Desktop,Side,Shopping,Morning,11,8,2,22.0,86,72.73,25.0,3.909,11.0,43.0,64.0,290.91
Mobile | News | Side | Morning | Unknown,Unknown,Mobile,Side,News,Morning,11,8,2,22.0,86,72.73,25.0,3.909,11.0,43.0,64.0,290.91
Tablet | Education | Bottom | Evening | Female,Female,Tablet,Bottom,Education,Evening,6,6,1,12.0,45,100.0,16.67,3.75,12.0,45.0,33.0,275.0
Tablet | Social Media | Top | Evening | Non-Binary,Non-Binary,Tablet,Top,Social Media,Evening,6,6,1,12.0,45,100.0,16.67,3.75,12.0,45.0,33.0,275.0
Desktop | Education | Top | Morning | Male,Male,Desktop,Top,Education,Morning,6,6,1,12.0,45,100.0,16.67,3.75,12.0,45.0,33.0,275.0
Mobile | News | Top | Afternoon | Female,Female,Mobile,Top,News,Afternoon,6,5,1,12.0,44,83.33,20.0,3.667,12.0,44.0,32.0,266.67
Desktop | Entertainment | Bottom | Night | Unknown,Unknown,Desktop,Bottom,Entertainment,Night,12,10,2,24.0,88,83.33,20.0,3.667,12.0,44.0,64.0,266.67
Desktop | Shopping | Side | Morning | Male,Male,Desktop,Side,Shopping,Morning,6,5,1,12.0,44,83.33,20.0,3.667,12.0,44.0,32.0,266.67
Desktop | Social Media | Bottom | Evening | Male,Male,Desktop,Bottom,Social Media,Evening,6,5,1,12.0,44,83.33,20.0,3.667,12.0,44.0,32.0,266.67
Mobile | Entertainment | Bottom | Afternoon | Non-Binary,Non-Binary,Mobile,Bottom,Entertainment,Afternoon,6,5,1,12.0,44,83.33,20.0,3.667,12.0,44.0,32.0,266.67
Unknown | Education | Unknown | Afternoon | Unknown,Unknown,Unknown,Unknown,Education,Afternoon,6,5,1,12.0,44,83.33,20.0,3.667,12.0,44.0,32.0,266.67
Desktop | Shopping | Top | Unknown | Unknown,Unknown,Desktop,Top,Shopping,Unknown,12,9,2,24.0,87,75.0,22.22,3.625,12.0,43.5,63.0,262.5
Mobile | Unknown | Top | Afternoon | Male,Male,Mobile,Top,Unknown,Afternoon,12,9,2,24.0,87,75.0,22.22,3.625,12.0,43.5,63.0,262.5
Tablet | Education | Top | Unknown | Female,Female,Tablet,Top,Education,Unknown,6,4,1,12.0,43,66.67,25.0,3.583,12.0,43.0,31.0,258.33
Mobile | Shopping | Bottom | Unknown | Unknown,Unknown,Mobile,Bottom,Shopping,Unknown,6,4,1,12.0,43,66.67,25.0,3.583,12.0,43.0,31.0,258.33
